animal_id,datetime_intake,found_location,intake_type,intake_condition,animal_type_intake,breed_intake,color_intake,datetime_outcome,date_of_birth,binary_outcome,neuter_status_intake,sex,neuter_status_outcome,age_upon_intake_days,age_upon_outcome_days,time_in_shelter,month_intake,month_outcome,time_in_shelter_days,found_city,animal_breed,animal_color
A814112,2020-02-24 14:49:00,4907 Lambs Ln in Austin (TX),Stray,Injured,Cat,Domestic Longhair,Orange Tabby,2020-02-27 16:20:00,2010-02-24 00:00:00,True,Not neutered,Female,Not neutered,3650,3650.0,3 days 01:31:00.000000000,2,2,3.0,Austin (TX),Domestic Mixed Dog,Orange 
A814111,2020-02-24 14:27:00,Riverside And Wickersham in Austin (TX),Stray,Normal,Dog,Great Dane,Blue Merle,2020-02-26 19:06:00,2014-02-24 00:00:00,False,Neutered,Female,Neutered,2190,2190.0,2 days 04:39:00.000000000,2,2,2.0,Austin (TX),other,Blue
A814110,2020-02-24 14:18:00,Andtree Blvd in Austin (TX),Public Assist,Normal,Cat,Domestic Longhair,Orange Tabby,2020-03-01 13:25:00,2019-02-24 00:00:00,False,Neutered,Female,Neutered,365,365.0,5 days 23:07:00.000000000,2,3,5.0,Austin (TX),Domestic Mixed Dog,Orange 
A814109,2020-02-24 14:18:00,Andtree Blvd in Austin (TX),Public Assist,Normal,Cat,Domestic Shorthair,Calico,2020-02-29 16:43:00,2019-02-24 00:00:00,False,Neutered,Female,Neutered,365,365.0,5 days 02:25:00.000000000,2,2,5.0,Austin (TX),Domestic Mixed Dog,Tricolor
A814108,2020-02-24 14:00:00,Austin (TX),Owner Surrender,Normal,Cat,Domestic Shorthair,Calico,2020-02-27 15:06:00,2011-02-27 00:00:00,False,Neutered,Female,Neutered,2920,3285.0,3 days 01:06:00.000000000,2,2,3.0,Austin (TX),Domestic Mixed Dog,Tricolor
A814101,2020-02-24 13:03:00,Point North Drive And Johnny Morris Road in Austin (TX),Stray,Normal,Dog,Golden Retriever Mix,Tan,2020-03-18 16:18:00,2020-01-24 00:00:00,False,Not neutered,Male,Neutered,28,30.0,23 days 03:15:00.000000000,2,3,23.0,Austin (TX),other,Tan
A814097,2020-02-24 12:37:00,Austin (TX),Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,2020-02-28 19:19:00,2019-08-24 00:00:00,False,Not neutered,Female,Neutered,182,182.0,4 days 06:42:00.000000000,2,2,4.0,Austin (TX),Domestic Mixed Dog,Tricolor
A814096,2020-03-06 15:36:00,Austin (TX),Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Torbie,2020-03-08 15:39:00,2019-08-24 00:00:00,False,Neutered,Female,Neutered,182,182.0,2 days 00:03:00.000000000,3,3,2.0,Austin (TX),Domestic Mixed Dog,other
A814095,2020-02-24 12:32:00,21600 Cold Aprings Drive in Travis (TX),Stray,Normal,Cat,Domestic Shorthair,Black,2020-02-28 16:30:00,2019-08-24 00:00:00,False,Not neutered,Female,Not neutered,182,182.0,4 days 03:58:00.000000000,2,2,4.0,Travis (TX),Domestic Mixed Dog,Black
A814094,2020-02-24 12:15:00,San Jacinto Boulevard And East 7Th Street in Austin (TX),Stray,Normal,Dog,Irish Terrier Mix,Tan/Black,2020-03-04 11:57:00,2019-02-24 00:00:00,False,Not neutered,Male,Neutered,365,365.0,8 days 23:42:00.000000000,2,3,8.0,Austin (TX),other,Tan
A814091,2020-02-24 11:50:00,Austin (TX),Owner Surrender,Normal,Cat,Snowshoe Mix,Seal Point/White,2020-03-03 19:22:00,2005-02-24 00:00:00,False,Neutered,Male,Neutered,5475,5475.0,8 days 07:32:00.000000000,2,3,8.0,Austin (TX),other,other
A814090,2020-02-24 11:17:00,Pecan Springs Road And Manor Road in Austin (TX),Stray,Normal,Dog,German Shepherd,Black/Tan,2020-03-02 12:51:00,2017-11-24 00:00:00,False,Not neutered,Female,Not neutered,730,730.0,7 days 01:34:00.000000000,2,3,7.0,Austin (TX),German Shepherd,Black
A814089,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Shorthair Mix,Black/White,2020-02-28 17:45:00,2019-11-09 00:00:00,False,Not neutered,Female,Neutered,91,91.0,4 days 06:34:00.000000000,2,2,4.0,Austin (TX),Domestic Mixed Dog,Black
A814088,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,2020-03-01 17:00:00,2019-12-24 00:00:00,False,Not neutered,Female,Neutered,61,61.0,6 days 05:49:00.000000000,2,3,6.0,Austin (TX),Domestic Mixed Dog,Tricolor
A814087,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Medium Hair Mix,Tortie,2020-03-02 10:46:00,2019-12-24 00:00:00,False,Not neutered,Female,Neutered,61,61.0,6 days 23:35:00.000000000,2,3,6.0,Austin (TX),Domestic Mixed Dog,Tricolor
A814086,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Medium Hair Mix,Gray Tabby,2020-02-28 16:46:00,2019-12-24 00:00:00,False,Not neutered,Female,Neutered,61,61.0,4 days 05:35:00.000000000,2,2,4.0,Austin (TX),Domestic Mixed Dog,other
A814085,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,2020-02-28 17:57:00,2019-12-24 00:00:00,False,Not neutered,Male,Neutered,61,61.0,4 days 06:46:00.000000000,2,2,4.0,Austin (TX),Domestic Mixed Dog,Orange 
A814084,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Domestic Shorthair Mix,Black,2020-02-28 18:15:00,2019-12-24 00:00:00,False,Not neutered,Male,Neutered,61,61.0,4 days 07:04:00.000000000,2,2,4.0,Austin (TX),Domestic Mixed Dog,Black
A814083,2020-02-24 11:11:00,Springdale And Manor in Austin (TX),Stray,Normal,Cat,Siamese Mix,Seal Point,2020-02-26 12:45:00,2020-01-10 00:00:00,False,Not neutered,Female,Not neutered,30,30.0,2 days 01:34:00.000000000,2,2,2.0,Austin (TX),other,other
A814081,2020-02-24 10:28:00,11724 Research Boulevard in Austin (TX),Public Assist,Normal,Dog,Chihuahua Shorthair,Red,2020-02-26 11:13:00,2016-02-24 00:00:00,False,Not neutered,Male,Not neutered,1460,1460.0,2 days 00:45:00.000000000,2,2,2.0,Austin (TX),Chihuahua ,Red
A814080,2020-02-24 11:02:00,Austin (TX),Stray,Normal,Dog,Labrador Retriever/St. Bernard Smooth Coat,White/Brown,2020-03-06 12:19:00,2018-02-24 00:00:00,False,Not neutered,Female,Not neutered,730,730.0,11 days 01:17:00.000000000,2,3,11.0,Austin (TX),Labrador Retriever,White
A814067,2020-02-24 07:54:00,Penny Lane And Stillwood Dr in Austin (TX),Stray,Normal,Cat,Cornish Rex,Orange Tabby/White,2020-02-24 14:11:00,2005-02-24 00:00:00,False,Neutered,Male,Neutered,5475,5475.0,0 days 06:17:00.000000000,2,2,0.0,Austin (TX),other,Orange 
A814065,2020-02-23 18:16:00,Mckinney Falls And Colton Bluff in Austin (TX),Stray,Normal,Dog,Labrador Retriever Mix,Brown/Black,2020-02-27 17:04:00,2019-12-21 00:00:00,False,Not neutered,Female,Neutered,61,61.0,3 days 22:48:00.000000000,2,2,3.0,Austin (TX),Labrador Retriever,Brown
A814064,2020-02-23 18:25:00,7800 Johnny Morris Rd in Austin (TX),Stray,Normal,Dog,Siberian Husky,Black/White,2020-02-24 11:01:00,2018-02-23 00:00:00,False,Not neutered,Male,Not neutered,730,730.0,0 days 16:36:00.000000000,2,2,0.0,Austin (TX),Siberian Husky,Black
A814063,2020-02-23 18:16:00,Mckinney Falls And Colton Bluff in Austin (TX),Stray,Normal,Dog,Labrador Retriever Mix,Brown,2020-02-27 18:58:00,2019-12-17 00:00:00,False,Not neutered,Female,Neutered,61,61.0,4 days 00:42:00.000000000,2,2,4.0,Austin (TX),Labrador Retriever,Brown
A814058,2020-02-23 17:24:00,Long Branch Dr And Fitzhugh in Austin (TX),Stray,Normal,Dog,Golden Retriever,Gold,2020-02-24 12:44:00,2007-02-24 00:00:00,False,Neutered,Female,Neutered,4745,4745.0,0 days 19:20:00.000000000,2,2,0.0,Austin (TX),other,Gold
A814057,2020-02-23 17:10:00,W William Cannon And Menchaca in Austin (TX),Stray,Normal,Dog,Miniature Schnauzer/Yorkshire Terrier,Silver/Tan,2020-02-23 18:48:00,2018-08-23 00:00:00,False,Not neutered,Male,Not neutered,365,365.0,0 days 01:38:00.000000000,2,2,0.0,Austin (TX),other,other
A814056,2020-02-23 16:55:00,9036 North Lamar in Austin (TX),Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan/White,2020-02-23 18:33:00,2013-02-23 00:00:00,False,Neutered,Female,Neutered,2555,2555.0,0 days 01:38:00.000000000,2,2,0.0,Austin (TX),Chihuahua ,Tan
A814054,2020-02-23 16:46:00,13828 Spring Heath in Travis (TX),Stray,Normal,Cat,Domestic Longhair Mix,Black,2020-02-27 16:52:00,2018-02-23 00:00:00,False,Not neutered,Male,Not neutered,730,730.0,4 days 00:06:00.000000000,2,2,4.0,Travis (TX),Domestic Mixed Dog,Black
A814053,2020-02-23 16:33:00,Goodrich And Collier in Austin (TX),Stray,Normal,Dog,Plott Hound Mix,Brown Brindle/White,2020-03-12 10:59:00,2017-02-23 00:00:00,False,Not neutered,Female,Not neutered,1095,1095.0,17 days 18:26:00.000000000,2,3,17.0,Austin (TX),other,Brown
A814050,2020-02-23 16:26:00,8803 Granada Hills Drive in Austin (TX),Stray,Normal,Dog,American Pit Bull Terrier,Brown/White,2020-02-24 18:11:00,2018-02-23 00:00:00,False,Not neutered,Male,Not neutered,730,730.0,1 days 01:45:00.000000000,2,2,1.0,Austin (TX),other,Brown
A814049,2020-02-23 16:07:00,9801 West Parmer Lane in Austin (TX),Wildlife,Normal,Other,Bat,Black/Brown,2020-02-24 12:54:00,2018-02-23 00:00:00,True,Not neutered,,Not neutered,730,730.0,0 days 20:47:00.000000000,2,2,0.0,Austin (TX),Bat,Black
A814045,2020-02-23 15:03:00,4177 W Howard Ln in Austin (TX),Stray,Normal,Dog,Catahoula Mix,Blue Merle/White,2020-03-04 11:57:00,2018-02-23 00:00:00,False,Neutered,Male,Neutered,730,730.0,9 days 20:54:00.000000000,2,3,9.0,Austin (TX),Catahoula,Blue
A814044,2020-02-23 15:03:00,4177 W Howard Ln in Austin (TX),Stray,Normal,Dog,Chinese Sharpei Mix,Tan/White,2020-03-12 12:12:00,2019-02-23 00:00:00,False,Not neutered,Male,Not neutered,365,365.0,17 days 21:09:00.000000000,2,3,17.0,Austin (TX),other,Tan
A814041,2020-02-23 14:28:00,9212 S Hwy 183 in Austin (TX),Stray,Normal,Dog,Australian Cattle Dog Mix,Black/White,2020-02-27 09:43:00,2020-01-30 00:00:00,False,Not neutered,Female,Not neutered,21,28.0,3 days 19:15:00.000000000,2,2,3.0,Austin (TX),other,Black
A814039,2020-02-23 14:07:00,Austin (TX),Owner Surrender,Normal,Dog,German Shepherd Mix,Brown/Black,2020-03-01 13:12:00,2019-12-08 00:00:00,False,Neutered,Female,Neutered,61,61.0,6 days 23:05:00.000000000,2,3,6.0,Austin (TX),German Shepherd,Brown
